county,rate,lower95cl,upper95cl,visits,year
Adams,6.729917655,NA,9.236775934,29,2011
Adams,4.843983212,2.84893747,NA,23,2012
Adams,6.836648236,4.35973518,9.313561292,31,2013
Adams,3.080949839,1.711087221,4.846995946,15,2014
Adams,3.356537988,1.892911591,5.232461331,16,2015
Adams,8.84850373,6.124961246,11.57204621,42,2016
Adams,6.634644436,4.292045516,8.977243356,32,2017
Adams,7.105566828,4.772990008,9.438143648,37,2018
Adams,6.761452008,4.528807297,8.994096718,36,2019
Adams,4.758211201,2.818594552,6.697827849,24,2020
Adams,6.931533762,4.611049427,9.252018098,35,2021
Adams,8.228158328,5.809519746,10.64679691,45,2022
Alamosa,0,0,0,0,2011
Alamosa,0,0,0,0,2012
Alamosa,NA,NA,NA,NA,2013
Alamosa,0,0,0,0,2014
Alamosa,NA,NA,NA,NA,2015
Alamosa,NA,NA,NA,NA,2016
Alamosa,NA,NA,NA,NA,2017
Alamosa,0,0,0,0,2018
Alamosa,NA,NA,NA,NA,2019
Alamosa,NA,NA,NA,NA,2020
Alamosa,0,0,0,0,2021
Alamosa,0,0,0,0,2022
Arapahoe,5.825223336,3.81861711,7.831829562,33,2011
Arapahoe,4.74912683,2.940135948,6.558117711,27,2012
Arapahoe,3.580914014,2.000522993,5.161305036,20,2013
Arapahoe,NA,NA,NA,NA,2014
Arapahoe,4.799849008,3.085568139,6.514129877,31,2015
Arapahoe,6.277862897,4.287310679,8.268415115,39,2016
Arapahoe,2.618504541,1.479302646,4.077627338,16,2017
Arapahoe,4.988529272,3.289412054,6.687646491,34,2018
Arapahoe,4.829324314,3.106767831,6.551880796,31,2019
Arapahoe,2.269218291,1.280702341,3.535820754,16,2020
Arapahoe,4.443234725,2.824751779,6.061717671,30,2021
Arapahoe,5.827256214,3.973461546,7.681050882,39,2022
Archuleta,0,0,0,0,2011
Archuleta,0,0,0,0,2012
Archuleta,0,0,0,0,2013
Archuleta,0,0,0,0,2014
Archuleta,0,0,0,0,2015
Archuleta,0,0,0,0,2016
Archuleta,NA,NA,NA,NA,2017
Archuleta,NA,NA,NA,NA,2018
Archuleta,NA,NA,NA,NA,2019
Archuleta,0,0,0,0,2020
Archuleta,NA,NA,NA,NA,2021
Archuleta,NA,NA,NA,NA,2022
Baca,0,0,0,0,2011
Baca,0,0,0,0,2012
Baca,0,0,0,0,2013
Baca,0,0,0,0,2014
Baca,0,0,0,0,2015
Baca,0,0,0,0,2016
Baca,0,0,0,0,2017
Baca,NA,NA,NA,NA,2018
Baca,NA,NA,NA,NA,2019
Baca,0,0,0,0,2020
Baca,0,0,0,0,2021
