COUNTY,RATE,L95CL,U95CL,VISITS,FLAG,YEAR,GENDER,MEASURE,HEALTHOUTCOMEID,cofips
Statewide,5.650078249,4.703826837,6.596329662,140,2,2011,Female,Age adjusted rate,Heat-related,08000
Statewide,7.38702215,6.298625667,8.475418633,183,2,2011,Male,Age adjusted rate,Heat-related,08000
Statewide,6.519311958,5.800422271,7.238201644,323,2,2011,Both genders,Age adjusted rate,Heat-related,08000
Statewide,5.652063792,4.724255311,6.579872273,146,2,2012,Female,Age adjusted rate,Heat-related,08000
Statewide,7.565380485,6.479820289,8.650940682,193,2,2012,Male,Age adjusted rate,Heat-related,08000
Statewide,6.589977324,5.880719007,7.29923564,339,2,2012,Both genders,Age adjusted rate,Heat-related,08000
Statewide,4.95815643,4.07708326,5.8392296,124,2,2013,Female,Age adjusted rate,Heat-related,08000
Statewide,6.699785877,5.702077873,7.69749388,178,2,2013,Male,Age adjusted rate,Heat-related,08000
Statewide,5.825740984,5.161669358,6.489812611,302,2,2013,Both genders,Age adjusted rate,Heat-related,08000
Statewide,3.537700469,2.805488634,4.269912305,92,2,2014,Female,Age adjusted rate,Heat-related,08000
Statewide,5.316859562,4.438518736,6.195200388,145,2,2014,Male,Age adjusted rate,Heat-related,08000
Statewide,4.445413902,3.871912444,5.01891536,237,2,2014,Both genders,Age adjusted rate,Heat-related,08000
Statewide,5.309048477,4.416804793,6.20129216,140,2,2015,Female,Age adjusted rate,Heat-related,08000
Statewide,7.792105454,6.731131911,8.853078997,215,2,2015,Male,Age adjusted rate,Heat-related,08000
Statewide,6.56739722,5.873819557,7.260974883,355,2,2015,Both genders,Age adjusted rate,Heat-related,08000
Statewide,6.362352712,5.397384677,7.327320747,172,2,2016,Female,Age adjusted rate,Heat-related,08000
Statewide,10.67551379,9.434608434,11.91641914,295,2,2016,Male,Age adjusted rate,Heat-related,08000
Statewide,8.492466488,7.710742453,9.274190522,467,2,2016,Both genders,Age adjusted rate,Heat-related,08000
Statewide,3.859234019,3.134458513,4.584009524,113,2,2017,Female,Age adjusted rate,Heat-related,08000
Statewide,7.522145071,6.486382202,8.55790794,210,2,2017,Male,Age adjusted rate,Heat-related,08000
Statewide,5.683990432,5.054550434,6.313430431,323,2,2017,Both genders,Age adjusted rate,Heat-related,08000
Statewide,5.693279598,4.802066755,6.58449244,163,2,2018,Female,Age adjusted rate,Heat-related,08000
Statewide,10.08086106,8.906986959,11.25473516,293,2,2018,Male,Age adjusted rate,Heat-related,08000
Statewide,7.886018966,7.150342272,8.621695661,456,2,2018,Both genders,Age adjusted rate,Heat-related,08000
Statewide,5.489752752,4.607270346,6.372235158,154,2,2019,Female,Age adjusted rate,Heat-related,08000
Statewide,8.072910172,7.0234595,9.122360844,235,2,2019,Male,Age adjusted rate,Heat-related,08000
Statewide,6.798837881,6.112658851,7.48501691,389,2,2019,Both genders,Age adjusted rate,Heat-related,08000
Statewide,3.54647379,2.854825646,4.238121934,105,2,2020,Female,Age adjusted rate,Heat-related,08000
Statewide,6.555532269,5.621929357,7.48913518,197,2,2020,Male,Age adjusted rate,Heat-related,08000
Statewide,5.062144835,4.480476058,5.643813611,302,2,2020,Both genders,Age adjusted rate,Heat-related,08000
Statewide,5.727518049,4.853728704,6.601307394,173,2,2021,Female,Age adjusted rate,Heat-related,08000
Statewide,8.406819401,7.35029519,9.463343612,252,2,2021,Male,Age adjusted rate,Heat-related,08000
Statewide,7.082813731,6.39711781,7.768509652,425,2,2021,Both genders,Age adjusted rate,Heat-related,08000
Statewide,6.292751697,5.368080524,7.21742287,185,2,2022,Female,Age adjusted rate,Heat-related,08000
