day,date,daily,line,type,number
Monday,2010-01-11,952,orange,Boardings,877
Tuesday,2010-01-12,796,orange,Boardings,777
Wednesday,2010-01-13,1211.5,orange,Boardings,1203
Thursday,2010-01-14,1213.5,orange,Boardings,1194
Friday,2010-01-15,1644,orange,Boardings,1645
Saturday,2010-01-16,1490.5,orange,Boardings,1457
Sunday,2010-01-17,888.5,orange,Boardings,839
Monday,2010-01-18,999.5,orange,Boardings,999
Tuesday,2010-01-19,1035,orange,Boardings,1023
Wednesday,2010-01-20,1395.5,orange,Boardings,1375
Thursday,2010-01-21,1305,orange,Boardings,1303
Friday,2010-01-22,1394.5,orange,Boardings,1401
Saturday,2010-01-23,1206,orange,Boardings,1202
Sunday,2010-01-24,713,orange,Boardings,715
Monday,2010-01-25,1295,orange,Boardings,1276
Tuesday,2010-01-26,1429.5,orange,Boardings,1436
Wednesday,2010-01-27,1288.5,orange,Boardings,1256
Thursday,2010-01-28,1239,orange,Boardings,1246
Friday,2010-01-29,1332,orange,Boardings,1342
Saturday,2010-01-30,581.5,orange,Boardings,564
Sunday,2010-01-31,683.5,orange,Boardings,664
Monday,2010-02-01,1395.5,orange,Boardings,1397
Tuesday,2010-02-02,1436.5,orange,Boardings,1437
Wednesday,2010-02-03,1368,orange,Boardings,1396
Thursday,2010-02-04,1339.5,orange,Boardings,1342
Friday,2010-02-05,1217.5,orange,Boardings,1231
Saturday,2010-02-06,0,orange,Boardings,NA
Sunday,2010-02-07,0,orange,Boardings,NA
Monday,2010-02-08,284,orange,Boardings,279
Tuesday,2010-02-09,849.5,orange,Boardings,832
Wednesday,2010-02-10,0,orange,Boardings,NA
Thursday,2010-02-11,0,orange,Boardings,NA
Friday,2010-02-12,671,orange,Boardings,664
Saturday,2010-02-13,700.5,orange,Boardings,690
Sunday,2010-02-14,543.5,orange,Boardings,542
Monday,2010-02-15,751.5,orange,Boardings,752
Tuesday,2010-02-16,791,orange,Boardings,774
Wednesday,2010-02-17,993.5,orange,Boardings,965
Thursday,2010-02-18,1126,orange,Boardings,1116
Friday,2010-02-19,1642,orange,Boardings,1637
