Rank	Country (or dependent territory)	Population	Date	% of world population	Source
1	 China	"1,347,350,000"	31-Dec-11	19.07%	Official estimate
2	 India	"1,210,193,422"	1-Mar-11	17.13%	2011 census
3	 United States	"315,091,000"	10-Jan-13	4.46%	Official population clock
4	 Indonesia	"237,641,326"	1-May-10	3.36%	2010 census
5	 Brazil	"193,946,886"	1-Jul-12	2.75%	Official estimate
6	 Pakistan	"181,737,000"	10-Jan-13	2.57%	Official population clock
7	 Nigeria	"166,629,000"	1-Jul-12	2.36%	UN estimate
8	 Bangladesh	"152,518,015"	16-Jul-12	2.16%	Official estimate
9	 Russia	"143,300,000"	1-Oct-12	2.03%	Official estimate
10	 Japan	"127,520,000"	1-Dec-12	1.81%	Monthly official estimate
11	 Mexico	"112,336,538"	12-Jun-10	1.59%	2010 census
12	 Philippines	"92,337,852"	1-May-10	1.31%	2010 census
13	 Vietnam	"87,840,000"	1-Jul-11	1.24%	Official estimate
14	 Ethiopia	"84,320,987"	1-Jul-12	1.19%	Official estimate
15	 Egypt	"83,725,000"	10-Jan-13	1.19%	Official population clock
16	 Germany	"81,903,000"	30-Jun-12	1.16%	Monthly official estimate
17	 Iran	"77,056,000"	10-Jan-13	1.09%	Official population clock
18	 Turkey	"74,724,269"	31-Dec-11	1.06%	Official estimate
19	 Democratic Republic of the Congo	"69,575,000"	1-Jul-12	0.98%	UN estimate
20	 Thailand	"65,926,261"	1-Sep-10	0.93%	2010 census
21	 France	"65,635,000"	1-Nov-12	0.93%	Monthly official estimate
22	 United Kingdom	"63,181,775"	27-Mar-11	0.89%	2011 census
23	 Italy	"60,870,745"	30-Jun-12	0.86%	Monthly official estimate
24	 South Africa	"51,770,560"	9-Oct-11	0.73%	2011 census
25	 South Korea	"50,004,441"	1-Jul-12	0.71%	Official estimate
26	 Myanmar	"48,724,000"	1-Jul-12	0.69%	UN estimate
27	 Colombia	"46,869,000"	10-Jan-13	0.66%	Official population clock
28	 Spain	"46,815,916"	1-Nov-11	0.66%	2011 census
29	 Ukraine	"45,560,255"	1-Nov-12	0.64%	Monthly official estimate
30	 Tanzania	"44,929,002"	25-Aug-12	0.64%	2012 census (preliminary results)
31	 Argentina	"40,117,096"	27-Oct-10	0.57%	2010 census
32	 Kenya	"38,610,097"	24-Aug-09	0.55%	2009 census
33	 Poland	"38,538,447"	31-Dec-11	0.55%	Official estimate
34	 Algeria	"37,800,000"	1-Jan-13	0.54%	Official estimate
35	 Canada	"35,002,447"	1-Oct-12	0.50%	Official estimate
36	 Uganda	"34,131,400"	1-Jul-12	0.48%	Official estimate
37	 Iraq	"33,330,000"	1-Jul-11	0.47%	Official estimate
38	 Morocco	"32,783,600"	10-Jan-13	0.46%	Official population clock
39	 Sudan	"30,894,000"	22-Apr-08	0.44%	2008 census
40	 Peru	"30,135,875"	30-Jun-12	0.43%	Official estimate
41	 Malaysia	"29,590,000"	10-Jan-13	0.42%	Official population clock
