"day","date","orangeAverage","purpleAverage","greenAverage","bannerAverage","daily"
"Monday","01/11/2010",952,NA,NA,NA,952
"Tuesday","01/12/2010",796,NA,NA,NA,796
"Wednesday","01/13/2010",1211.5,NA,NA,NA,1211.5
"Thursday","01/14/2010",1213.5,NA,NA,NA,1213.5
"Friday","01/15/2010",1644,NA,NA,NA,1644
"Saturday","01/16/2010",1490.5,NA,NA,NA,1490.5
"Sunday","01/17/2010",888.5,NA,NA,NA,888.5
"Monday","01/18/2010",999.5,NA,NA,NA,999.5
"Tuesday","01/19/2010",1035,NA,NA,NA,1035
"Wednesday","01/20/2010",1395.5,NA,NA,NA,1395.5
"Thursday","01/21/2010",1305,NA,NA,NA,1305
"Friday","01/22/2010",1394.5,NA,NA,NA,1394.5
"Saturday","01/23/2010",1206,NA,NA,NA,1206
"Sunday","01/24/2010",713,NA,NA,NA,713
"Monday","01/25/2010",1295,NA,NA,NA,1295
"Tuesday","01/26/2010",1429.5,NA,NA,NA,1429.5
"Wednesday","01/27/2010",1288.5,NA,NA,NA,1288.5
"Thursday","01/28/2010",1239,NA,NA,NA,1239
"Friday","01/29/2010",1332,NA,NA,NA,1332
"Saturday","01/30/2010",581.5,NA,NA,NA,581.5
"Sunday","01/31/2010",683.5,NA,NA,NA,683.5
"Monday","02/01/2010",1395.5,NA,NA,NA,1395.5
"Tuesday","02/02/2010",1436.5,NA,NA,NA,1436.5
"Wednesday","02/03/2010",1368,NA,NA,NA,1368
"Thursday","02/04/2010",1339.5,NA,NA,NA,1339.5
"Friday","02/05/2010",1217.5,NA,NA,NA,1217.5
"Saturday","02/06/2010",NA,NA,NA,NA,0
"Sunday","02/07/2010",NA,NA,NA,NA,0
"Monday","02/08/2010",284,NA,NA,NA,284
"Tuesday","02/09/2010",849.5,NA,NA,NA,849.5
"Wednesday","02/10/2010",NA,NA,NA,NA,0
"Thursday","02/11/2010",NA,NA,NA,NA,0
"Friday","02/12/2010",671,NA,NA,NA,671
"Saturday","02/13/2010",700.5,NA,NA,NA,700.5
"Sunday","02/14/2010",543.5,NA,NA,NA,543.5
"Monday","02/15/2010",751.5,NA,NA,NA,751.5
"Tuesday","02/16/2010",791,NA,NA,NA,791
"Wednesday","02/17/2010",993.5,NA,NA,NA,993.5
"Thursday","02/18/2010",1126,NA,NA,NA,1126
"Friday","02/19/2010",1642,NA,NA,NA,1642
"Saturday","02/20/2010",893.5,NA,NA,NA,893.5
"Sunday","02/21/2010",739,NA,NA,NA,739
"Monday","02/22/2010",997.5,NA,NA,NA,997.5
"Tuesday","02/23/2010",998,NA,NA,NA,998
"Wednesday","02/24/2010",1219,NA,NA,NA,1219
"Thursday","02/25/2010",1429.5,NA,NA,NA,1429.5
"Friday","02/26/2010",1328.5,NA,NA,NA,1328.5
"Saturday","02/27/2010",1252.5,NA,NA,NA,1252.5
"Sunday","02/28/2010",955.5,NA,NA,NA,955.5
"Monday","03/01/2010",1511,NA,NA,NA,1511
"Tuesday","03/02/2010",1498.5,NA,NA,NA,1498.5
"Wednesday","03/03/2010",1464.5,NA,NA,NA,1464.5
"Thursday","03/04/2010",1697.5,NA,NA,NA,1697.5
"Friday","03/05/2010",1905.5,NA,NA,NA,1905.5
"Saturday","03/06/2010",1369,NA,NA,NA,1369
"Sunday","03/07/2010",1114.5,NA,NA,NA,1114.5
"Monday","03/08/2010",1516,NA,NA,NA,1516
"Tuesday","03/09/2010",1727.5,NA,NA,NA,1727.5
"Wednesday","03/10/2010",1672,NA,NA,NA,1672
"Thursday","03/11/2010",1711.5,NA,NA,NA,1711.5
"Friday","03/12/2010",1644,NA,NA,NA,1644
"Saturday","03/13/2010",952.5,NA,NA,NA,952.5
"Sunday","03/14/2010",716.5,NA,NA,NA,716.5
"Monday","03/15/2010",1588,NA,NA,NA,1588
"Tuesday","03/16/2010",1601,NA,NA,NA,1601
"Wednesday","03/17/2010",1710.5,NA,NA,NA,1710.5
"Thursday","03/18/2010",1949,NA,NA,NA,1949
"Friday","03/19/2010",2204.5,NA,NA,NA,2204.5
"Saturday","03/20/2010",1945.5,NA,NA,NA,1945.5
"Sunday","03/21/2010",1634,NA,NA,NA,1634
"Monday","03/22/2010",1413,NA,NA,NA,1413
"Tuesday","03/23/2010",1458,NA,NA,NA,1458
"Wednesday","03/24/2010",1350,NA,NA,NA,1350
"Thursday","03/25/2010",1448,NA,NA,NA,1448
"Friday","03/26/2010",1710.5,NA,NA,NA,1710.5
"Saturday","03/27/2010",1561,NA,NA,NA,1561
"Sunday","03/28/2010",1086.5,NA,NA,NA,1086.5
"Monday","03/29/2010",1790.5,NA,NA,NA,1790.5
"Tuesday","03/30/2010",1474,NA,NA,NA,1474
"Wednesday","03/31/2010",1719,NA,NA,NA,1719
"Thursday","04/01/2010",1939.5,NA,NA,NA,1939.5
"Friday","04/02/2010",2029,NA,NA,NA,2029
"Saturday","04/03/2010",1836,NA,NA,NA,1836
"Sunday","04/04/2010",1053,NA,NA,NA,1053
"Monday","04/05/2010",1875.5,NA,NA,NA,1875.5
"Tuesday","04/06/2010",1776,NA,NA,NA,1776
"Wednesday","04/07/2010",1498.5,NA,NA,NA,1498.5
"Thursday","04/08/2010",1764,NA,NA,NA,1764
"Friday","04/09/2010",2399,NA,NA,NA,2399
"Saturday","04/10/2010",1801,NA,NA,NA,1801
"Sunday","04/11/2010",1231.5,NA,NA,NA,1231.5
"Monday","04/12/2010",1711.5,NA,NA,NA,1711.5
"Tuesday","04/13/2010",1643,NA,NA,NA,1643
"Wednesday","04/14/2010",1933,NA,NA,NA,1933
"Thursday","04/15/2010",1793.5,NA,NA,NA,1793.5
"Friday","04/16/2010",2191,NA,NA,NA,2191
"Saturday","04/17/2010",1886,NA,NA,NA,1886
"Sunday","04/18/2010",1150.5,NA,NA,NA,1150.5
"Monday","04/19/2010",1818.5,NA,NA,NA,1818.5
"Tuesday","04/20/2010",1797,NA,NA,NA,1797
"Wednesday","04/21/2010",1661.5,NA,NA,NA,1661.5
"Thursday","04/22/2010",1879,NA,NA,NA,1879
"Friday","04/23/2010",2132,NA,NA,NA,2132
"Saturday","04/24/2010",1613,NA,NA,NA,1613
"Sunday","04/25/2010",1058.5,NA,NA,NA,1058.5
"Monday","04/26/2010",1616,NA,NA,NA,1616
"Tuesday","04/27/2010",1847,NA,NA,NA,1847
"Wednesday","04/28/2010",1728.5,NA,NA,NA,1728.5
"Thursday","04/29/2010",1746.5,NA,NA,NA,1746.5
"Friday","04/30/2010",2223,NA,NA,NA,2223
"Saturday","05/01/2010",2415,NA,NA,NA,2415
"Sunday","05/02/2010",1172.5,NA,NA,NA,1172.5
"Monday","05/03/2010",1616,NA,NA,NA,1616
"Tuesday","05/04/2010",1649.5,NA,NA,NA,1649.5
"Wednesday","05/05/2010",1705,NA,NA,NA,1705
