Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Novavax,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_5Plus,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_5Plus,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Novavax,Administered_Unk_Manuf,Admin_Per_100K,Admin_Per_100k_5Plus,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Novavax,Series_Complete_Unk_Manuf,Series_Complete_Janssen_5Plus,Series_Complete_Moderna_5Plus,Series_Complete_Pfizer_5Plus,Series_Complete_Unk_Manuf_5Plus,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Additional_Doses,Additional_Doses_Vax_Pct,Additional_Doses_5Plus,Additional_Doses_5Plus_Vax_Pct,Additional_Doses_12Plus,Additional_Doses_12Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,Second_Booster_Janssen,Second_Booster_Moderna,Second_Booster_Pfizer,Second_Booster_Unk_Manuf,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
12/28/22,52,US,939127005,31435100,342216120,564453485,1022300,0,282862,300747,331238,363699,1713990,663822575,660178473,637009322,597079823,180162067,18952708,248567365,395452177,69062,781263,199941,211416,224679,231233,328811,663822575,268363272,80.8,266464233,85.3,255132016,90,236989551,91.8,58632584,95,229135170,69,228190198,73.1,218887208,77.2,203343439,78.7,51524820,94,17148344,79512874,131879136,20680,221226,17145175,79000857,131803653,219966,17143096,78943592,122569097,211471,17115113,78839182,107174129,196029,2370587,24465357,24607385,78498,116065473,50.7,116057091,50.9,114030914,52.1,109021199,53.6,68320577,65.3,37725957,73.2,48170984,66266780,1558424,64003,34425419,50.4,21830681,57.9,22514,18693455,25986363,26941,47146355,15.1,46222874,16.3,44711483,17.3,20562562,37.5
12/21/22,51,US,937298205,31433200,341642820,562146285,1019500,1056400,282311,300161,330593,362990,1710650,662148570,658560696,635482799,595641962,179688968,18950258,247972525,394378363,67439,779985,199437,210898,224140,230676,327947,662148570,268143349,80.8,266266579,85.3,254950060,89.9,236818187,91.7,58598496,95,228989746,69,228060841,73,218770322,77.2,203234053,78.7,51499788,94,17146360,79463560,131788269,20192,221958,17143202,78959829,131718681,219070,17141126,78903777,122495312,210642,17113150,78800146,107106839,195391,2370451,24454558,24593492,78352,115811690,50.6,115803553,50.8,113815970,52,108833295,53.6,68219889,65.2,37675936,73.2,48096271,66088616,1558152,63590,34071249,49.9,21652042,57.5,22450,18433909,25529543,26706,45675842,14.6,44820189,15.8,43385791,16.8,20117601,36.7
12/14/22,50,US,931341585,31425900,339558720,559352465,1004300,200,280517,298254,328492,360684,1699780,660400812,656868683,633870543,594103943,179067598,18946940,247343714,393271419,65971,772768,198911,210356,223572,230081,326813,660400812,267907969,80.7,266053626,85.2,254752240,89.9,236632534,91.6,58548181,95,228831995,68.9,227919330,73,218641190,77.1,203112845,78.7,51466172,93.9,17144028,79408858,131696441,19748,218909,17140870,78914230,131626934,217679,17138795,78859384,122414518,209470,17110827,78756561,107032912,194440,2370278,24440219,24574653,78134,115560269,50.5,115552384,50.7,113599014,52,108639758,53.5,68102518,65.1,37612998,73.1,48020648,65914018,1557857,62846,33650174,49.4,21418600,56.9,22359,18174310,25081978,26383,44154294,14.1,43354864,15.3,41979757,16.3,19537080,35.7
12/7/22,49,US,926257435,31416400,338024320,555832115,984600,0,278986,296625,326699,358715,1690500,657927289,654470492,631588778,591926479,178208448,18942387,246452917,391702142,63842,766001,198166,209588,222767,229237,325245,657927289,267654789,80.6,265829800,85.1,254547742,89.8,236440789,91.6,58510255,95,228604758,68.9,227716964,72.9,218456531,77.1,202939654,78.6,51419952,93.8,17140807,79333193,131563922,19132,217272,17137651,78849639,131494558,216112,17135577,78796428,122298001,208114,17107623,78694624,106926551,193331,2370064,24420518,24548714,77865,115179633,50.4,115172143,50.6,113268378,51.8,108342057,53.4,67924353,65,37518695,73,47902804,65652943,1557299,61952,33052669,48.7,21090184,56.2,22247,17792958,24441483,25645,42017288,13.5,41299441,14.6,40007377,15.5,18731729,34.2
11/30/22,48,US,921275395,31409900,336568120,552326475,970900,0,277485,295030,324942,356785,1681400,655280140,651911430,629152609,589601459,177280287,18939175,245508471,390012295,61387,758812,197368,208769,221908,228337,323551,655280140,267346533,80.5,265553660,85,254293236,89.7,236201346,91.5,58454811,95,228369460,68.8,227513868,72.9,218273121,77,202767718,78.5,51370466,93.8,17138169,79254799,131431205,18352,215562,17135015,78784278,131361892,214457,17132941,78732805,122183043,206699,17105001,78632088,106821665,192173,2369908,24399679,24520610,77583,114786983,50.3,114779848,50.4,112928223,51.7,108036030,53.3,67742911,64.9,37421442,72.8,47781417,65383328,1556953,60925,32421025,47.9,20740985,55.4,22147,17392482,23757470,24858,39719443,12.7,39088221,13.8,37885266,14.7,17855207,32.6
11/23/22,47,US,918653695,31401900,335687270,550600725,963800,0,276696,294190,324017,355770,1676620,653502647,650192719,627554236,588099153,176682586,18952477,244844785,388886817,59429,759139,196833,208218,221344,227755,322460,653502647,267804921,80.7,266034304,85.2,254776283,89.9,236659684,91.7,58572994,95,228390445,68.8,227556364,72.9,218339891,77,202840227,78.6,51406656,93.8,17153610,79282207,131423007,17771,215965,17150482,78819515,131353825,214896,17148400,78769095,122198092,207250,17120427,78668978,106841795,192790,2371698,24423427,24531131,77793,114231013,50,114224184,50.2,112430920,51.5,107586393,53,67520171,64.6,37317997,72.6,47571289,65040344,1554768,60545,31817182,47.1,20421140,54.7,21999,16943292,23060381,24512,37635032,12.1,37097228,13.1,36001216,13.9,17136183,31.3
11/16/22,46,US,911216095,31395600,333432620,545438475,949400,0,274455,291809,321394,352890,1663050,650810290,647581886,625076930,585739208,175704004,18948166,243881608,387174835,54324,751357,196022,207382,220470,226841,320674,650810290,267476279,80.6,265737991,85.1,254502180,89.8,236401973,91.6,58504045,95,228154832,68.7,227349586,72.8,218151486,76.9,202663544,78.5,51355759,93.7,17150165,79203691,131289947,16527,214017,17147039,78752189,131220935,213011,17144959,78703316,122081453,205590,17116992,78604181,106735451,191453,2371433,24401493,24502856,77485,113851327,49.9,113844972,50.1,112111501,51.4,107303176,52.9,67352788,64.5,37224751,72.5,47458388,64776098,1554310,59374,31178010,46.3,20057208,53.9,21885,16537432,22353934,23678,35272874,11.3,34831538,12.3,33831057,13.1,16215353,29.6
11/9/22,45,US,905043735,31384500,331456120,541270615,932500,0,272596,289832,319217,350499,1651780,646524294,643404741,621109746,581955830,174192595,18942185,242319609,384466981,50574,744945,194731,206044,219071,225376,317916,646524294,267032055,80.4,265336323,85,254131061,89.6,236050976,91.4,58421252,95,227802408,68.6,227037240,72.7,217864385,76.8,202392229,78.4,51282106,93.6,17145289,79085653,131088876,15647,212396,17142169,78648529,131019580,211427,17140097,78601829,121902915,204237,17112144,78504011,106571125,190270,2371098,24369371,24462155,77112,113272617,49.7,113266702,49.9,111625080,51.2,106868790,52.8,67100860,64.4,37087495,72.3,47282767,64375029,1553695,58449,30193855,45,19516152,52.6,21698,15864369,21194803,22980,31417048,10.1,31136841,11,30295463,11.7,14764441,26.9
11/2/22,44,US,928460585,32496900,341028680,553982505,952500,0,279649,297331,327476,359568,1694520,640913400,637904724,615798294,576857244,171974161,18935979,240551585,380679852,43540,702444,193041,204283,217197,223401,313867,640913400,266401911,80.2,264749063,84.8,253576131,89.4,235524218,91.2,58253006,95,227377753,68.5,226652416,72.6,217506183,76.7,202055126,78.3,51177597,93.4,17140671,78959921,130834974,13610,199487,17137554,78537856,130764892,198610,17135483,78493220,121671796,192402,17107551,78396597,106357873,180303,2370659,24331362,24399140,74339,112478828,49.5,112473353,49.6,110908631,51,106221457,52.6,66694363,64.1,36858051,72,47086294,63783362,1553146,53829,28830116,43.2,18740401,50.8,21575,15122044,19596411,21188,26290124,8.4,26145011,9.2,25483818,9.9,12628330,23
10/26/22,43,US,890758935,31364200,326268320,532235215,891200,0,268294,285257,314178,344967,1625710,636871557,633945840,611981959,573185098,170254521,18927502,239091038,378114465,41044,697508,191824,203015,215851,221979,310729,636871557,266031472,80.1,264409990,84.7,253260001,89.3,235227527,91.1,58173543,95,226933827,68.4,226240579,72.5,217125229,76.6,201702536,78.1,51071667,93.2,17132993,78816652,130565316,12916,198385,17129877,78405197,130495144,197550,17127815,78362003,121431258,191561,17099934,78266397,106144322,179727,2370154,24284463,24340730,74323,111848839,49.3,111843722,49.4,110334654,50.8,105687127,52.4,66350537,63.9,36655943,71.8,46871050,63372127,1550674,53111,27775103,41.9,18110970,49.4,21397,14513273,18504005,20432,22820618,7.3,22760570,8,22197891,8.6,11018868,20.1
10/19/22,42,US,882774235,31353900,323571420,526976615,872300,0,265889,282700,311362,341875,1611140,632905664,630069703,608204521,569526223,168497247,18922385,237609069,375644351,38250,691609,190629,201774,214519,220562,307521,632905664,265591330,80,264002904,84.5,252876153,89.2,234862377,91,58059764,95,226594560,68.2,225935455,72.4,216838738,76.5,201429763,78,50976107,93,17128974,78699914,130371692,11903,196859,17125860,78300419,130301310,196067,17123805,78258955,121254100,190295,17095938,78164226,105979709,178705,2369725,24243886,24286578,74039,111367843,49.1,111363104,49.3,109888048,50.7,105271821,52.3,66068287,63.7,36484709,71.6,46709817,63053884,1550067,52359,26796838,40.6,17528730,48,21259,13932835,17554024,19902,19318368,6.2,19313491,6.8,18843059,7.3,9364465,17.1
10/12/22,41,US,871852135,31338500,320293420,519363315,856900,0,262599,279203,307510,337645,1591200,627854963,625146535,603353895,564817082,166237772,18916447,235757021,372455530,35302,690663,189108,200197,212808,218739,303398,627854963,265111489,79.9,263569164,84.4,252465699,89,234470372,90.8,57935108,95,226200755,68.1,225593259,72.2,216518485,76.4,201124156,77.9,50868579,92.8,17125024,78566237,130152232,10849,195711,17121914,78184598,130081043,194958,17119870,78145189,121053674,189220,17092024,78051174,105792918,177855,2369315,24198580,24225165,73804,110835775,49,110831519,49.1,109377700,50.5,104798224,52.1,65762900,63.5,36299632,71.4,46528623,62703762,1549460,52338,25623483,39,16837064,46.4,21139,13220306,16298729,21416,NA,NA,14759770,5.2,14404183,5.6,7191807,13.1
10/5/22,40,US,863234395,31320600,316796720,514275775,841300,0,260003,276443,304470,334308,1575470,624198981,621594258,599858163,561423193,164553175,18912044,234455510,370114511,32992,683924,188007,199060,211575,217424,300323,624198981,264562221,79.7,263060427,84.2,251975850,88.9,234002008,90.6,57788616,95,225870613,68,225300811,72.2,216240859,76.3,200856940,77.8,50762863,92.6,17120468,78451888,129968156,9937,194122,17117359,78083563,129896644,193407,17115320,78045366,120882661,187888,17087484,77951816,105631533,176789,2368805,24151406,24167575,73484,110560974,48.9,110557137,49.1,109124419,50.5,104567169,52.1,65592096,63.5,36185013,71.3,46461737,62496525,1549954,51274,24830426,37.9,16362301,45.2,21060,12763952,15441841,20326,NA,NA,NA,NA,NA,NA,NA,NA
9/28/22,39,US,854087395,31296200,313014120,508950075,827000,0,257248,273514,301244,330765,1558780,619765972,617282615,595624694,557317195,162533937,18902992,232943541,367217199,30261,671979,186672,197679,210082,215834,296638,619765972,264112767,79.5,262652943,84.1,251591518,88.7,233639615,90.5,57678330,95,225284115,67.9,224764609,72,215729725,76.1,200370336,77.6,50647283,92.4,17111177,78256910,129623346,8860,190805,17108073,77906643,129550999,190128,17106040,77870435,120559704,184989,17078227,77777670,105331806,174318,2368119,24107181,24097568,72968,109970532,48.8,109967267,48.9,108562917,50.3,104040144,51.9,65283605,63.3,35999184,71.1,46280603,62090594,1548855,49106,23869248,36.6,15784752,43.8,20894,12219947,14370438,18786,NA,NA,NA,NA,NA,NA,NA,NA
9/21/22,38,US,843692095,31272300,309366020,502247675,806100,0,254117,270185,297577,326739,1539810,616172308,613822271,592238842,554028806,160920474,18896040,231784237,364799403,27291,665337,185589,196571,208888,214561,293693,616172308,263812108,79.5,262397288,84,251352831,88.7,233411729,90.4,57620197,95,224980931,67.8,224516257,71.9,215503967,76,200154342,77.5,50576510,92.3,17105620,78154035,129466983,7670,189165,17102521,77823896,129393743,188515,17100497,77789975,120422496,183616,17072706,77697898,105203344,173201,2367708,24077844,24057044,72657,109578270,48.7,109575554,48.8,108202798,50.2,103705671,51.8,65070993,63.1,35864236,70.9,46164693,61816124,1548079,48099,23118101,35.5,15335531,42.8,20725,11815824,13453567,17920,NA,NA,NA,NA,NA,NA,NA,NA
9/14/22,37,US,834376095,31244100,307784920,494574175,772900,0,251311,267201,294292,323132,1522810,612781120,610575848,589089763,550982290,159482867,18888287,230689369,362521095,24125,658244,184568,195531,207777,213381,291069,612781120,263415633,79.3,262052039,83.9,251036042,88.5,233113974,90.3,57537688,95,224636858,67.7,224226476,71.8,215246612,75.9,199913204,77.4,50499423,92.2,17099935,78050658,129266829,6278,187441,17096843,77743864,129192749,186827,17094827,77712593,120251065,182129,17067066,77621407,105046907,171985,2367244,24050306,24008580,72282,109201576,48.6,109199336,48.7,107859770,50.1,103385299,51.7,64869643,63,35740338,70.8,46056042,61550095,1547174,47084,22495442,34.7,14967856,41.9,20550,11441286,12685272,17202,NA,NA,NA,NA,NA,NA,NA,NA
9/7/22,36,US,817498295,31217600,304241820,481332975,705900,0,246228,261796,288339,316595,1492000,610686563,608619944,587233107,549197737,158724289,18881650,229799922,361331600,20787,652604,183937,194905,207122,212690,289685,610686563,263103582,79.2,261793204,83.8,250806049,88.5,232901518,90.2,57488420,95,224367691,67.6,224000330,71.7,215055356,75.9,199737504,77.4,50452612,92.1,17094523,77949931,129124012,4872,185940,17091434,77669242,129049509,185347,17089420,77641380,120139018,180930,17061679,77551155,104949207,171013,2366868,24028080,23984917,71986,108953688,48.6,108951784,48.6,107643370,50.1,103183221,51.7,64747518,62.9,35665958,70.7,45964261,61395623,1546366,46350,22176710,34.3,14785402,41.5,20348,11144715,12343848,16791,NA,NA,NA,NA,NA,NA,NA,NA
8/31/22,35,US,809924135,31195700,301794360,476252575,681500,0,243947,259371,285667,313662,1478180,610012616,608059002,586770211,548784652,158587453,18875222,229584075,360882973,17965,652381,183734,194725,206959,212530,289435,610012616,262908216,79.2,261651417,83.8,250694686,88.4,232806947,90.2,57473043,95,224113439,67.5,223771522,71.7,214957526,75.8,199657605,77.3,50437369,92.1,17087399,77898576,128930817,3738,185029,17084317,77641861,128857207,184462,17082312,77616689,120074777,180257,17054607,77527151,104902011,170501,2366019,24021902,23977011,71897,108806974,48.5,108805110,48.6,107530593,50,103086172,51.6,64696725,62.9,35640858,70.7,45921576,61291816,1545687,46892,22024581,34,14698771,41.2,20422,11056813,12256380,18553,NA,NA,NA,NA,NA,NA,NA,NA
8/24/22,34,US,806829135,31180300,300824460,474197475,626900,0,243014,258380,284576,312463,1472530,608937334,607127127,585985131,548077233,158339450,18866547,229236868,360175884,14559,643476,183410,194427,206682,212256,288983,608937334,262643277,79.1,261453589,83.7,250540006,88.4,232674052,90.1,57449108,95,223914723,67.4,223607955,71.6,214833608,75.8,199551723,77.3,50415834,92,17080700,77824706,128817297,2591,182348,17077628,77601859,128744119,181815,17075637,77580203,119997597,177814,17047969,77491554,104841049,168946,2365588,24012343,23965972,71563,108540822,48.5,108539031,48.5,107324416,50,102915219,51.6,64611137,62.9,35599077,70.6,45856744,61093497,1544371,45303,21772202,33.7,14551296,40.9,20177,10933597,12102415,18048,NA,NA,NA,NA,NA,NA,NA,NA
