,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2030,2050,2099
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.806663928,4.806663928,4.68085234,4.68085234,4.68085234,4.555798024,4.555798024,4.555798024,4.555798024,4.431570147,4.431570147,4.431570147,4.308200117,4.308200117,4.185741656,4.185741656,4.185741656,4.064236317,4.064236317,3.943716495,3.943716495,3.943716495,3.824232736,3.824232736,3.700995909,3.700995909,3.588491298,3.588491298,3.476823642,3.48584264,3.490352139,3.383459078,3.396539461,3.405259716,3.413979971,3.306680545,3.315105209,3.323529873,3.220373762,3.228506019,3.236638276,3.129420626,3.141185365,3.149028524,3.041875452,3.045654179,3.038096725,3.022981816,2.888247715,2.855509391,2.811858292,2.658680303,2.606206349,2.550234132,2.497760179,2.349155439,2.298744378,2.251694054,2.115649741,2.070498679,2.028572693,0.889413178,0.374242855,0.096438666
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.355986478,2.265507817,2.175029156,2.084550495,1.994071835,1.845919538,1.703736932,1.567471641,1.609380026,1.645657523,1.676423851,1.701783202,1.721861085,1.802436476,1.412714977,1.525678661,1.312548486,1.481614688,1.457742335,1.43173138,1.403657933,1.373657276,1.405188035,1.371883997,1.336711285,1.299954026,1.322028717,1.293946203,1.324254852,1.281020473,1.232347518,1.177076649,1.118188167,1.056400438,0.990831785,0.922417428,0.853594058,0.784964256,0.715800782,0.701987083,0.635361109,0.620233464,0.605105818,0.545907413,0.534086583,0.523340374,0.513668786,0.46379948,0.454899277,0.445999073,0.43709887,0.392593161,0.385339707,0.378086254,0.371739482,0.334426215,0.330287277,0.326148339,0.294317674,0.292053692,0.288280389,0.256962664,0.250110327,0.241887521,0.231609015,0.220645274,0.230926175,0.219606265,0.209795676,0.183642651,0.178160781,0.174049378,0.154166427,0.149814956,0.131838697,0.126746215,0.109775928,0.104646212,0.099516495,0.086363007,0.082161563,0.078893774,0.076559638,0.074225503,0.066139341,0.065291401,0.047040027,0.043839421,0.034043671
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.972339925,2.968273796,2.854910045,2.850988465,2.743355998,2.743355998,2.644529079,2.648166671,2.550234132,2.55723066,2.46342051,2.470141985,2.373655806,2.281397312,2.281397312,2.187076852,2.187076852,2.091203113,1.996833408,1.999535483,1.906431633,1.81503015,1.812577406,1.720598734,1.628378356,1.621740944,1.525763594,1.430722796,1.414869912,1.316395435,1.216621171,1.19021116,1.088426235,0.989079528,0.892723157,0.801176943,0.714544991,0.68315022,0.605105818,0.531937342,0.50614644,0.480355539,0.417320641,0.391608943,0.365897244,0.312805174,0.291044814,0.272911181,0.258404274,0.225158244,0.216880367,0.211913642,0.190174497,0.187910515,0.186401194,0.16719704,0.165826573,0.163085638,0.161029936,0.143598567,0.140490373,0.071226983,0.05908728,0.042392545
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.439863223,4.440324507,4.440785792,4.441247076,4.441708361,4.442169645,4.44263093,4.443092214,4.443553499,4.444014783,4.444476068,4.444937352,4.445398637,4.445859921,4.446321206,4.44678249,4.447243775,4.447705059,4.448166344,4.448627628,4.449088913,4.449550197,4.450011482,4.450472766,4.450934051,4.451395335,4.45185662,4.452317904,4.452779189,4.453240473,4.453701758,4.454163042,4.454624327,4.455085611,4.455546896,4.45600818,4.456469465,4.456930749,4.457392034,4.457853318,4.458314603,4.458775887,4.459237172,4.459698456,4.460159741,4.460621025,4.46108231,4.461543594,4.462004879,4.462466163,4.462927448,4.463388732,4.463850017,4.464311301,4.464772586,4.46523387,4.465695154,4.466156439,4.466617723,4.467079008,4.467540292,4.468001577,4.468462861,4.468924146,4.46938543,4.469846715,4.470307999,4.470769284,4.471230568,4.471691853,4.472153137,4.472614422,4.473075706,4.473536991,4.473998275,4.47445956,4.474920844,4.475382129,4.475843413,4.476304698,4.476765982,4.477227267,4.477688551,4.478149836,4.47861112,4.479072405,4.479533689,4.479994974,4.480456258,4.480917543,4.481378827,4.481840112,4.482301396,4.482762681,4.483223965,4.48368525,4.484146534,4.484607819,4.485069103,4.485530388,4.485991672,4.486452957,4.486914241,4.487375526,4.48783681,4.488298095,4.488759379,4.489220664,4.489681948,4.490143232,4.490604517,4.491065801,4.491527086,4.49198837,4.492449655,4.492910939,4.493372224,4.493833508,4.494294793,4.494756077,4.495217362,4.495678646,4.496139931,4.496601215,4.4970625,4.497523784,4.495217362,4.492910939,4.490604517,4.488298095,4.485991672,4.48368525,4.481378827,4.479072405,4.476765982,4.47445956,4.472153137,4.469846715,4.467540292,4.46523387,4.462927448,4.460621025,4.458314603,4.341728435,4.339481164,4.337233892,4.334986621,4.219332457,4.217144006,4.214955556,4.212767106,4.218846135,4.129801326,4.153467809,4.063231849,4.086252993,4.109274137,4.022851797,4.045232057,3.957428475,3.979172587,3.995480672,3.900611218,3.911167676,3.805430332,3.805430332,3.800308623,3.675236655,3.665303583,3.532550062,3.513299108,3.494048154,3.369453518,3.360132761,3.2423297,3.2423297,3.2423297,3.1349318,3.1349318,3.139291928,3.139291928,3.139291928,3.139291928,3.037091303,3.037091303,3.037091303,3.037091303,3.032878971,3.02866664,3.024454308,3.020241976,3.00760498,2.999180316,2.986543321,2.870686713,2.858488327,2.745105812,2.729419493,2.618657998,2.599764362,2.484475049,2.3613279,2.234890367,2.194561519,2.060823452,1.925895021,1.876433833,1.82388132,1.698757934,1.651405796,1.53939715,0.661857914,0.29762243,0.08589618
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.696499125,3.656526198,3.616553271,3.576580344,3.575123489,3.573666633,3.572209778,3.570752922,3.569296067,3.567839211,3.566382355,3.5649255,3.563468644,3.562011789,3.516849267,3.471686746,3.426524224,3.381361702,3.336199181,3.309975781,3.188430338,3.162968161,3.137505985,3.112043808,3.306282635,3.605173852,3.805219687,3.421084115,3.054075514,3.051330278,2.956221302,2.862097086,2.859517458,2.766493772,2.650340724,2.623752719,2.511137053,2.485429741,2.376344921,2.262263775,2.151362954,2.043626397,2.014258129,1.910754105,1.919338821,1.854079685,1.82865,1.732330868,1.638958725,1.548515666,1.526044116,1.43945945,1.355788341,1.335218059,1.255321679,1.235679672,1.15941562,1.140688199,1.121960778,1.045163037,1.022156304,0.99914957,0.976142837,0.953136103,0.93144404,0.909751977,0.888059914,0.823518655,0.761930623,0.720638266,0.680302745,0.640942466,0.602563767,0.601620049,0.558041755,0.550862773,0.509546488,0.502818266,0.496090045,0.494023003,0.491955961,0.522709256,0.48988892,0.48988892,0.45650616,0.45650616,0.424231973,0.424231973,0.422880916,0.391806744,0.391806744,0.390550953,0.389295162,0.388039371,0.386783581,0.38552779,0.384271999,0.354917836,0.354917836,0.354917836,0.356081501,0.357245166,0.333132477,0.338505581,0.343878685,0.32238514,0.328318608,0.333263166,0.307365084,0.307365084,0.305551721,0.301924994,0.270686566,0.26571984,0.261580901,0.258269751,0.233190157,0.231680836,0.230926175,0.229416854,0.227907532,0.204884898,0.202829196,0.200088261,0.197347326,0.193921157,0.172193953,0.169085759,0.165355926,0.161626093,0.143721155,0.140326167,0.13749701,0.134667854,0.132404528,0.118496445,0.117470502,0.116444559,0.115418616,0.114905644,0.104102435,0.103168781,0.06858345,0.053856852,0.03369805
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70150233,0.699486964,0.650992276,0.649398128,0.649398128,0.6066247,0.608786392,0.568496516,0.571133677,0.530514889,0.529467591,0.525045664,0.476594366,0.463913839,0.411486063,0.393487874,0.343451014,0.326949408,0.31253317,0.274328831,0.265554282,0.258104193,0.228813125,0.222021179,0.214776436,0.207154363,0.199683222,0.19281581,0.187080388,0.182703356,0.179986578,0.179080985,0.179684714,0.181571365,0.202062968,0.205374119,0.228393111,0.231113156,0.253754683,0.253655792,0.250985731,0.245447827,0.237239862,0.226955183,0.202479624,0.1632027,0.1632027,0.140723903,0.124168149,0.105652498,0.098105891,0.082228053,0.095932728,0.087029435,0.087029435,0.087029435,0.080813047,0.098001984,0.098398066,0.098454649,0.098454649,0.074194774,0.058560034,0.043038116
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149334102,1.07892069,1.003580416,0.929628486,0.857305609,0.788378892,0.772437407,0.705251879,0.640453331,0.62412805,0.560886547,0.542267906,0.520158271,0.458863121,0.436296082,0.412654423,0.358974864,0.338207723,0.319418405,0.276537908,0.263844364,0.252964184,0.222674881,0.21605258,0.192438479,0.189419837,0.186401194,0.184891872,0.166511806,0.165141339,0.163770871,0.147950039,0.146706761,0.146085123,0.145463484,0.144841845,0.144220206,0.143598567,0.14235529,0.141112012,0.139868734,0.125614552,0.123917058,0.121653733,0.119390408,0.116561251,0.114297926,0.112034601,0.109771276,0.108073782,0.105810456,0.104678794,0.103547131,0.102415468,0.101283806,0.100152143,0.090283006,0.089257063,0.088744091,0.087718148,0.087205176,0.064747167,0.058240034,0.039028734
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.431904484,3.421305801,3.410707117,3.400108433,3.389509749,3.378911065,3.368312382,3.357713698,3.347115014,3.33651633,3.325917646,3.315318963,3.304720279,3.294121595,3.283522911,3.272924227,3.262325544,3.25172686,3.241128176,3.230529492,3.219930808,3.209332125,3.198733441,3.188134757,3.177536073,3.16693739,3.144654818,3.122372247,3.100089675,3.077807104,3.055524532,3.033241961,3.010959389,2.988676818,2.966394246,2.944111675,2.921829103,2.899546532,2.87726396,2.854981389,2.832698817,2.810416246,2.788133674,2.765851103,2.743568532,2.72128596,2.699003389,2.676720817,2.654438246,2.632155674,2.609873103,2.645237237,2.48256222,2.652310064,2.567436142,2.807912254,2.737183986,2.970587271,3.013024232,3.034242713,3.013024232,2.991805752,3.06253402,2.949368791,3.034242713,2.977660098,2.814985081,2.857422042,2.864494869,2.737183986,2.737183986,2.607974597,2.546206777,2.489029192,2.449098242,2.315215985,2.315215985,2.185717427,2.210697055,2.163296806,2.133083164,2.062427594,2.015687025,1.964294614,2.009450812,1.945154546,1.860240561,1.870750395,1.797540562,1.757032606,1.706030451,1.681658588,1.579745857,1.537556798,1.387043537,1.369029985,1.227334856,1.218691652,1.12672587,1.130868245,1.082647434,1.078681693,1.012436603,0.916057459,0.955886044,0.904472997,0.863046753,0.821669054,0.821669054,0.781030591,0.781030591,0.776577178,0.776577178,0.735636019,0.735636019,0.695545293,0.60835443,0.574053123,0.574053123,0.540524891,0.507821967,0.515927268,0.450129566,0.467564868,0.430709939,0.427521642,0.412739538,0.405783253,0.40114573,0.381871026,0.324119617,0.296241061,0.254493543,0.252049847,0.264595131,0.265599764,0.273511246,0.25693724,0.25658814,0.258566371,0.262522832,0.275090414,0.276370446,0.298945547,0.260083717,0.270566178,0.295288965,0.27889528,0.270644477,0.270735145,0.278079266,0.277353921,0.288415437,0.264312601,0.264147043,0.271100459,0.275653291,0.283186159,0.258169427,0.284758956,0.260433409,0.267753618,0.258924087,0.252283073,0.238019986,0.224360627,0.217719613,0.214851902,0.217795079,0.217870545,0.215757495,0.222247577,0.187959624,0.170691732,0.159042758,0.133528018,0.128057597,0.124762911,0.110280524,0.107904032,0.097002934,0.099260009,0.098952226,0.089817527,0.08589618,0.098644444,0.087203296,0.086129593,0.085476035,0.085802814,0.08063912,0.071260424,0.072763483,0.071645824,0.070990644,0.070219845,0.063167116,0.062534038,0.061971302,0.056160032,0.056192032,0.055328032,0.056192032,0.050887447,0.051324124,0.052139255,0.047985679,0.047985679,0.048329,0.051234022,0.051498115,0.043253307,0.035426155,0.019339898
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.691896781,2.670149684,2.648402588,2.626655491,2.604908395,2.583161299,2.561414202,2.539667106,2.517920009,2.496172913,2.474425816,2.45267872,2.433407227,2.474862871,2.457382717,2.465918336,2.518784669,2.419845752,2.360693621,2.3629202,2.368659066,2.328214266,2.335213597,2.310632754,2.274248156,2.23141569,2.237909305,2.227572512,2.133149633,2.13682493,2.040506379,2.154866178,2.008835698,2.03197953,1.955208403,1.98599614,1.918392087,1.888880119,1.832060013,1.832107936,1.758903941,1.763583744,1.830591497,1.799797355,1.75565843,1.679757626,1.629539126,1.526838186,1.503485618,1.434914775,1.393273008,1.272382495,1.225414332,1.166218164,1.07645158,1.032532174,0.948705823,0.868962127,0.828563514,0.75455714,0.928527546,0.908170748,0.90373452,0.837664345,0.808343449,0.734260081,0.652820824,0.606921048,0.565727945,0.541372314,0.513472109,0.484537598,0.440181335,0.413498659,0.392343497,0.358982417,0.357408331,0.30516802,0.358709164,0.534978271,0.504404795,0.47383132,0.417368861,0.388581064,0.359793267,0.310978924,0.311409001,0.311839079,0.273584866,0.273961665,0.237721207,0.243749003,0.218685352,0.228679326,0.238350914,0.228141876,0.236745406,0.266291057,0.252864663,0.259885935,0.243897368,0.226648262,0.229214404,0.230207749,0.229379961,0.223502669,0.220174962,0.216814144,0.213892054,0.205763179,0.189613042,0.181989118,0.157271291,0.146147592,0.14383833,0.137770858,0.115612642,0.111686252,0.109870383,0.099319234,0.102645002,0.10402504,0.103241775,0.096925925,0.086147818,0.083426169,0.082017249,0.073447277,0.074242383,0.067498525,0.068049381,0.070369512,0.070262141,0.070080079,0.062115865,0.06033519,0.061276404,0.053643799,0.052776649,0.051624304,0.052549263,0.046749293,0.04902134,0.048455087,0.049911166,0.045014426,0.044972826,0.044128025,0.040319859,0.039883182,0.039592064,0.036775281,0.034005234,0.021282912
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18204762,1.171568474,1.091867397,1.077996123,1.011605014,1.007865255,1.009735135,0.956042396,0.964845733,0.914741197,0.92135777,0.9263202,0.866607298,0.860406172,0.79272657,0.775335859,0.755046696,0.683634963,0.662018047,0.596500652,0.57891958,0.562594299,0.546269018,0.491066645,0.474775334,0.496037384,0.478456312,0.462131031,0.444549959,0.428224678,0.413155188,0.399341489,0.388039371,0.380504626,0.374225672,0.343281185,0.343281185,0.343281185,0.34444485,0.372969881,0.372969881,0.369202509,0.389104485,0.378296027,0.363434397,0.321482457,0.305157176,0.267642958,0.254842643,0.244369657,0.219222662,0.215998799,0.197782294,0.198771206,0.184056378,0.186776423,0.189496468,0.175490984,0.17714656,0.178802135,0.163006712,0.120522071,0.089881669,0.050148111
