"","name","zipCode","neighborhood","councilDistrict","policeDistrict","Location 1"
"1","James Cardinal Gibbons",21201,"Downtown",11,"CENTRAL","408 CHARLES ST
Baltimore, MD
"
"2","The Battle Monument",21202,"Downtown",11,"CENTRAL",NA
"3","Negro Heroes of the U.S Monument",21202,"Downtown",11,"CENTRAL",NA
"4","Star Bangled Banner",21202,"Downtown",11,"CENTRAL","100 HOLLIDAY ST
Baltimore, MD
"
"5","Flame at the Holocaust Monument",21202,"Downtown",11,"CENTRAL","50 MARKET PL
Baltimore, MD
"
"6","Calvert Statue",21202,"Downtown",11,"CENTRAL","100 CALVERT ST
Baltimore, MD
"
"7","War Memorial Building/Aquatic Wa Horses",21202,"Downtown",11,"CENTRAL","101 GAY ST
Baltimore, MD
"
"8","Boy Scout",21211,"Remington",7,"NORTHERN","3100 CHARLES ST
Baltimore, MD
"
"9","Reese Monument",21213,"Clifton Park",14,"NORTHEASTERN","2801 SAINT LO DR
Baltimore, MD
"
"10","Serviceman's Memorial",21211,"Johns Hopkins Homewood",14,"NORTHEASTERN",NA
"11","Poe Monument",21201,"Mid-Town Belvedere",11,"CENTRAL","1420 CHARLES ST
Baltimore, MD
"
"12","Maryland Line Monument",21201,"Mid-Town Belvedere",11,"CENTRAL",NA
"13","Francis Scott Key Monument",21217,"Madison Park",11,"CENTRAL",NA
"14","Billie Holiday",21217,"Upton",11,"CENTRAL","1400 PENNSYLVANIA AVE
Baltimore, MD
"
"15","World War One Relief",21217,"Upton",11,"CENTRAL","1211 PENNSYLVANIA AVE
Baltimore, MD
"
"16","Watson Monument",21217,"Reservoir Hill",11,"CENTRAL",NA
"17","James L. Ridgely Monument",21217,"Harlem Park",11,"WESTERN","1500 EDMONDSON AVE
Baltimore, MD
"
"18","Luther Monument",21218,"Coldstream Homestead Montebello",14,"NORTHEASTERN","3201 HILLEN ROAD
Baltimore, MD
"
"19","Dehontshihgwa'es (Creator's Game)",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"20","Sidney Lanier Monument",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"21","Lee and Jackson Monument",21218,"Johns Hopkins Homewood",14,"NORTHERN","3100 CHARLES ST
Baltimore, MD
"
"22","Sea Urchin",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"23","Daniel Coit Gilman",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"24","Centennial Sculpture",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"25","Johns Hopkins Monument",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"26","Harris Bust",21211,"Remington",14,"NORTHERN","3100 CHARLES ST
Baltimore, MD
"
"27","Isaiah Bowman",21218,"Johns Hopkins Homewood",14,"NORTHERN","3200 CHARLES ST
Baltimore, MD
"
"28","Union Soldiers and Sailors",21218,"Johns Hopkins Homewood",14,"NORTHERN","3100 CHARLES ST
Baltimore, MD
"
"29","Peace Cross (Victory Cross)",21218,"Guilford",14,"NORTHERN","2 UNIVERSITY PKWY
Baltimore, MD
"
"30","U.S. Spanish-American War Memorial",21224,"McElderry Park",13,"SOUTHEASTERN",NA
"31","Pulaski Monument",21224,"Patterson Park",1,"SOUTHEASTERN","100 LINWOOD AVE
Baltimore, MD
"
"32","Conradin Kruetzer Monument",21224,"Patterson Park",1,"SOUTHEASTERN","100 LINWOOD AVE
Baltimore, MD
"
"33","Star Spangled Banner Centennial Monument",21224,"Patterson Park",1,"SOUTHEASTERN","100 LINWOOD AVE
Baltimore, MD
"
"34","Captain John O'Donnell",21224,"Canton",1,"SOUTHEASTERN","1021 LINWOOD AVE
Baltimore, MD
"
"35","Vietnam Veteran's Memorial Monument",21230,"Middle Branch/Reedbird Parks",10,"SOUTHERN","2825 HANOVER ST
Baltimore, MD
"
"36","Colonel George Armistead Monument",21230,"Locust Point Industrial Area",10,"SOUTHERN","1401 CONSTELLATION PLZA
Baltimore, MD
"
"37","Samuel Smith Monument",21202,"Federal Hill",11,"SOUTHERN","300 WARREN AVE
Baltimore, MD
"
