func,package,description
abs,base,"\code{abs(x)} computes the absolute value of x, \code{sqrt(x)} computes the (principal) square root of x, \eqn{\sqrt{x}}{}.  The naming follows the standard for computer languages such as C or Fortran."
all,base,"Given a set of logical vectors, are all of the values true?"
all.equal,base,"\code{all.equal(x, y)} is a utility to compare \R{} objects \code{x} and \code{y} testing `near equality'.  If they are different, comparison is still made to some extent, and a report of the differences is returned.    Do not use \code{all.equal} directly in \code{if} expressions---either use \code{isTRUE(all.equal(....))} or \code{\LinkA{identical}{identical}} if appropriate."
any,base,"Given a set of logical vectors, is at least one of the values true?"
apply,base,Returns a vector or array or list of values obtained by applying a function to margins of an array or matrix.
array,base,Creates or tests for arrays.
as.character,base,"Create or test for objects of type \code{""character""}."
as.data.frame,base,"Functions to check if an object is a data frame, or coerce it if possible."
as.Date,base,"Functions to convert between character representations and objects of class \code{""Date""} representing calendar dates."
as.integer,base,"Creates or tests for objects of type \code{""integer""}."
as.logical,base,"Create or test for objects of type \code{""logical""}, and the basic logical constants."
as.matrix,base,\code{matrix} creates a matrix from the given set of values.  \code{as.matrix} attempts to turn its argument into a matrix.  \code{is.matrix} tests if its argument is a (strict) matrix.
as.numeric,base,"Creates or coerces objects of type \code{""numeric""}. \code{is.numeric} is a more general test of an object being interpretable as numbers."
basename,base,"\code{basename} removes all of the path up to and including the last path separator (if any).  \code{dirname} returns the part of the \code{path} up to but excluding the last path separator, or \code{"".""} if there is no path separator."
c,base,"This is a generic function which combines its arguments.  The default method combines its arguments to form a vector. All arguments are coerced to a common type which is the type of the returned value, and all attributes except names are removed."
cbind,base,"Take a sequence of vector, matrix or data-frame arguments and combine by \emph{c}olumns or \emph{r}ows, respectively.  These are generic functions with methods for other \R{} classes."
class,base,\R{} possesses a simple generic function mechanism which can be used for an object-oriented style of programming.  Method dispatch takes place based on the class of the first argument to the generic function.
colMeans,base,Form row and column sums and means for numeric arrays (or data frames).
colnames,base,Retrieve or set the row or column names of a matrix-like object.
cos,base,"These functions give the obvious trigonometric functions.  They respectively compute the cosine, sine, tangent, arc-cosine, arc-sine, arc-tangent, and the two-argument arc-tangent.  \code{cospi(x)}, \code{sinpi(x)}, and \code{tanpi(x)}, compute \code{cos(pi*x)}, \code{sin(pi*x)}, and \code{tan(pi*x)}."
cut,base,"\code{cut} divides the range of \code{x} into intervals and codes the values in \code{x} according to which interval they fall.  The leftmost interval corresponds to level one, the next leftmost to level two and so on."
data.frame,base,"The function \code{data.frame()} creates data frames, tightly coupled collections of variables which share many of the properties of matrices and of lists, used as the fundamental data structure by most of \R{}'s modeling software."
diff,base,Returns suitably lagged and iterated differences.
difftime,base,"Time intervals creation, printing, and some arithmetic.  The \code{\LinkA{print}{print}()} method calls these ``time differences''."
dim,base,Retrieve or set the dimension of an object.
dir,base,These functions produce a character vector of the names of files or directories in the named directory.
duplicated,base,"\code{duplicated()} determines which elements of a vector or data frame are duplicates of elements with smaller subscripts, and returns a logical vector indicating which elements (rows) are duplicates.  \code{anyDuplicated(.)} is a ``generalized'' more efficient shortcut for \code{any(duplicated(.))}."
